Padrón de Mercaderías;;;;;;
;;;;;;
Fecha de Emision: 26/11/2025 Hora: 10:16;;;;;;
Estados: Activa;;;;;;
Incluyendo Mercaderías sin Fabricante;;;;;;
;;;;;;
Código;Código de Barras;Nombre;Unidad Base;Fabricante;Marca;Tipo Producto
06079.079.G;7908661202951;FREE FARO COLLAR PARA PERROS DARKEST (G);;FERPLAST;FREE FARO;Mercadería / Simple
06079.079.M;7908661202944;FREE FARO COLLAR PARA PERROS DARKEST (M);;FERPLAST;FREE FARO;Mercadería / Simple
06079.079.P;7908661202937;FREE FARO COLLAR PARA PERROS DARKEST (P);;FERPLAST;FREE FARO;Mercadería / Simple
06080.080.G;7908661203293;FREE FARO COLLAR PARA PERROS LILAC (G);;FERPLAST;FREE FARO;Mercadería / Simple
06080.080.M;7908661203286;FREE FARO COLLAR PARA PERROS LILAC (M);;FERPLAST;FREE FARO;Mercadería / Simple
06080.080.P;7908661203279;FREE FARO COLLAR PARA PERROS LILAC (P);;FERPLAST;FREE FARO;Mercadería / Simple
07001020;07001020;PASTILLA SUPRALINE - GATO;;SERVIVET;SUPRALINE;Mercadería / Simple
09010LNE;;CAMPERA NYLON POLAR AE L - NEGRO;;MONTEVIDEO UNIFORMES;AE;Mercadería / Simple
09010MNE;;CAMPERA NYLON POLAR AE M - NEGRO;;MONTEVIDEO UNIFORMES;AE;Mercadería / Simple
09010XLNE;;CAMPERA NYLON POLAR AE XL - NEGRO;;MONTEVIDEO UNIFORMES;AE;Mercadería / Simple
09010XXLNE;;CAMPERA NYLON POLAR AE XXL - NEGRO;;MONTEVIDEO UNIFORMES;AE;Mercadería / Simple
10;;RETORNO COMERCIAL;;;;Cuenta Operativa / Descuentos Obtenidos
10010;813168010107;PELUCHE HUGGLEHOUNDS OCTAVIE PULPO (S) - 10010 (X);;USA PET;HUGGLEHOUNDS;Mercadería / Simple
10013;813168010138;PELUCHE HUGGLEHOUNDS RAUCOUS PEZ ARCOIRIS (S) - 10013 (X);;USA PET;HUGGLEHOUNDS;Mercadería / Simple
10015;813168010152;PELUCHE HUGGLEHOUNDS RAUCOUS PEZ ARCOIRIS (L) - 10015 (X);;USA PET;HUGGLEHOUNDS;Mercadería / Simple
10016;813168010169;PELUCHE HUGGLEHOUNDS TOTALLY PEZ MARRON (S) - 10016 (X);;USA PET;HUGGLEHOUNDS;Mercadería / Simple
10017;813168010176;PELUCHE HUGGLEHOUNDS TOTALLY PEZ MARRON (L) - 10017 (X);;USA PET;HUGGLEHOUNDS;Mercadería / Simple
