Padrón de Mercaderías;;;;;;
;;;;;;
Fecha de Emision: 26/11/2025 Hora: 10:16;;;;;;
Estados: Activa;;;;;;
Incluyendo Mercaderías sin Fabricante;;;;;;
;;;;;;
Código;Código de Barras;Nombre;Unidad Base;Fabricante;Marca;Tipo Producto
2139;064992506452;ACANA PERRO PUPPY RECIPE POLLO 2 KG;;SADENIR;ACANA;Mercadería / Simple
2140;064992506131;ACANA PERRO PUPPY RECIPE POLLO 5.8 KG;;SADENIR;ACANA;Mercadería / Simple
21403;3561963603648;HPM PERRO SENIOR LARGE y MEDIUM 12 KG;;VIRBAC;HPM;Mercadería / Simple
21406;3561963603136;HPM GATO ADULT SALMON NEUTERED y ENTIRE 1.5 KG;;VIRBAC;HPM;Mercadería / Simple
21407;3561963603143;HPM GATO ADULT SALMON NEUTERED y ENTIRE 3 KG;;VIRBAC;HPM;Mercadería / Simple
21408;3561963600678;HPM GATO ADULT SALMON NEUTERED y ENTIRE 7 KG;;VIRBAC;HPM;Mercadería / Simple
2141;064992506254;ACANA PERRO PUPPY RECIPE POLLO 11.3 KG;;SADENIR;ACANA;Mercadería / Simple
21411;3561963603518;HPM PERRO BABY LARGE y MEDIUM 12 KG;;VIRBAC;HPM;Mercadería / Simple
21412;3561963603570;HPM PERRO ADULT LARGE y MEDIUM 3 KG;;VIRBAC;HPM;Mercadería / Simple
21413;3561963603495;HPM PERRO BABY LARGE y MEDIUM 3 KG;;VIRBAC;HPM;Mercadería / Simple
21414;3561963603594;HPM PERRO ADULT LARGE y MEDIUM 12 KG;;VIRBAC;HPM;Mercadería / Simple
21415;3561963603105;HPM GATO ADULT NEUTERED 3 KG;;VIRBAC;HPM;Mercadería / Simple
21418;3561963603631;HPM PERRO SENIOR LARGE y MEDIUM 3 KG;;VIRBAC;HPM;Mercadería / Simple
21419;3561963603228;HPM PERRO BABY SMALL y TOY 1.5 KG;;VIRBAC;HPM;Mercadería / Simple
2142;064992610043;ACANA GATO CACHORRO FIRST FEAST POLLO 1.8 KG;;SADENIR;ACANA;Mercadería / Simple
21420;3561963603235;HPM PERRO BABY SMALL y TOY 3 KG;;VIRBAC;HPM;Mercadería / Simple
21421;3561963603266;HPM PERRO ADULT SMALL y TOY 3 KG;;VIRBAC;HPM;Mercadería / Simple
21422;3561963603273;HPM PERRO ADULT SMALL y TOY 7 KG;;VIRBAC;HPM;Mercadería / Simple
21423;3561963603297;HPM PERRO SENIOR SMALL y TOY 3 KG;;VIRBAC;HPM;Mercadería / Simple
2143;064992613044;ACANA GATO ADULTO INDOOR ENTREE RECIPE POLLO 1.8 KG;;SADENIR;ACANA;Mercadería / Simple
2144;64992613105;ACANA GATO ADULTO INDOOR ENTREE RECIPE POLLO 4.5 KG;;SADENIR;ACANA;Mercadería / Simple
2146;064992612047;ACANA GATO ADULTO BOUNTIFUL CATCH SALMON 1.8 KG;;SADENIR;ACANA;Mercadería / Simple
2147;64992612108;ACANA GATO ADULTO BOUNTIFUL CATCH SALMON 4.5 KG;;SADENIR;ACANA;Mercadería / Simple
2148;64992101459;ORIJEN PERRO PUPPY POLLO 2 KG;;SADENIR;ORIJEN;Mercadería / Simple
2151;064992103453;ORIJEN PERRO ORIGINAL POLLO/PESCADO 2 KG;;SADENIR;ORIJEN;Mercadería / Simple
2152;064992103132;ORIJEN PERRO ORIGINAL POLLO/PESCADO 5.9 KG;;SADENIR;ORIJEN;Mercadería / Simple
2153;64992103255;ORIJEN PERRO ORIGINAL POLLO/PESCADO 10.6 KG;;SADENIR;ORIJEN;Mercadería / Simple
2154;064992106454;ORIJEN PERRO SIX FISH RECIPE PESCADO 2 KG;;SADENIR;ORIJEN;Mercadería / Simple
2155;064992106133;ORIJEN PERRO SIX FISH RECIPE PESCADO 5.9 KG;;SADENIR;ORIJEN;Mercadería / Simple
2156;847922021566;VARITA MODERN CAT- FISH´N WAND - 2156;;PET CARE;PAWISE;Mercadería / Simple
2162;847922021627;JUGUETE INTERACTIVO AFP - MORDERN CAT - TORRE CON PELOTA - 2162;;PET CARE;AFP;Mercadería / Simple
2163;064992203405;ORIJEN GATO SIX FISH RECIPE PESCADO 1.8 KG;;SADENIR;ORIJEN;Mercadería / Simple
2164;064992716646;ORIJEN GATO KITTEN POLLO/PESCADO 1.8 KG;;SADENIR;ORIJEN;Mercadería / Simple
2168;;CAMA AFP LOUNGE - NARANJA - 2168;;PET CARE;AFP;Mercadería / Simple
2169;64992201401;ORIJEN GATO ORIGINAL POLLO/PESCADO 1.8 KG;;SADENIR;ORIJEN;Mercadería / Simple
2170;64992201135;ORIJEN GATO ORIGINAL POLLO/PESCADO 5.4 KG;;SADENIR;ORIJEN;Mercadería / Simple
21704GR;7798098843847GR;GRATIS - BALANCED GATO ADULTO 2 KG;;VITALCAN;BALANCED;Mercadería / Simple
21704VE;7798098843847VE;BALANCED GATO ADULTO 2 KG;;VITALCAN;BALANCED;Mercadería / Simple
21705;7798098843854;BALANCED GATO ADULTO 7.5 KG;;VITALCAN;BALANCED;Mercadería / Simple
21707GR;7798098843878GR;GRATIS - BALANCED GATO ADULTO WEIGHT CONTROL / CASTRATED 2 KG;;VITALCAN;BALANCED;Mercadería / Simple
21707VE;7798098843878VE;BALANCED GATO ADULTO WEIGHT CONTROL / CASTRATED 2 KG;;VITALCAN;BALANCED;Mercadería / Simple
21708;7798098843885;BALANCED GATO ADULTO WEIGHT CONTROL / CASTRATED 7.5 KG;;VITALCAN;BALANCED;Mercadería / Simple
21708V;;BALANCED GATO ADULTO WEIGHT CONTROL / CASTRATED 7.5 KG + 2 KG;;VITALCAN;BALANCED;Mercadería / Simple
2171;064992501136;ACANA PERRO FREE-RUN POULTRY RECIPE (POLLO) 5.8 KG;;SADENIR;ACANA;Mercadería / Simple
21710GR;7798098843908GR;GRATIS - BALANCED GATO KITTEN 2 KG;;VITALCAN;BALANCED;Mercadería / Simple
21710VE;7798098843908VE;BALANCED GATO KITTEN 2 KG;;VITALCAN;BALANCED;Mercadería / Simple
21711;7798098843915;BALANCED GATO KITTEN 7.5 KG;;VITALCAN;BALANCED;Mercadería / Simple
21713GR;7798098843939GR;GRATIS - BALANCED GATO ADULTO PH CONTROL 2 KG;;VITALCAN;BALANCED;Mercadería / Simple
21713VE;7798098843939VE;BALANCED GATO ADULTO PH CONTROL 2 KG;;VITALCAN;BALANCED;Mercadería / Simple
21714;7798098843946;BALANCED GATO ADULTO PH CONTROL 7.5 KG;;VITALCAN;BALANCED;Mercadería / Simple
21714V;;BALANCED GATO ADULTO PH CONTROL 7.5 KG + 2 KG;;VITALCAN;BALANCED;Mercadería / Simple
21716;7798098843960;BALANCED GATO SENIOR 2 KG;;VITALCAN;BALANCED;Mercadería / Simple
21717;7798098843977;BALANCED GATO SENIOR 7.5 KG;;VITALCAN;BALANCED;Mercadería / Simple
2172;64992502133;ACANA PERRO FRESHWATER FISH BLEND (PESCADO) 5.8 KG;;SADENIR;ACANA;Mercadería / Simple
21730;7798098848125;BALANCED GATO ADULTO 15 KG;;VITALCAN;BALANCED;Mercadería / Simple
21743;7798098848989;BALANCED GATO ADULTO - NATURAL RECIPE (MERLUZA) 3 KG;;VITALCAN;BALANCED;Mercadería / Simple
21744;7798098848996;BALANCED GATO ADULTO - NATURAL RECIPE (MERLUZA) 7.5 KG;;VITALCAN;BALANCED;Mercadería / Simple
21745;7798098849009;BALANCED GATO ADULTO - NATURAL RECIPE (MERLUZA) 15 KG;;VITALCAN;BALANCED;Mercadería / Simple
21749;7798098848804;BALANCED GATO ADULTO - NATURAL RECIPE (CORDERO) 3 KG;;VITALCAN;BALANCED;Mercadería / Simple
21750;7798098848811;BALANCED GATO ADULTO - NATURAL RECIPE (CORDERO) 7.5 KG;;VITALCAN;BALANCED;Mercadería / Simple
21750V;;BALANCED GATO ADULTO - NATURAL RECIPE (CORDERO) 7.5 KG + 3 KG;;VITALCAN;BALANCED;Mercadería / Simple
21751;7798098848828;BALANCED GATO ADULTO - NATURAL RECIPE (CORDERO) 15 KG;;VITALCAN;BALANCED;Mercadería / Simple
21752;7798098848835;BALANCED GATO ADULTO - NATURAL RECIPE (SALMON) 3 KG;;VITALCAN;BALANCED;Mercadería / Simple
21753;7791998848868;BALANCED GATO ADULTO - NATURAL RECIPE (SALMON) 7.5 KG;;VITALCAN;BALANCED;Mercadería / Simple
21753V;;BALANCED GATO ADULTO - NATURAL RECIPE (SALMON) 7.5 KG + 3 KG;;VITALCAN;BALANCED;Mercadería / Simple
21754;;BALANCED GATO ADULTO - NATURAL RECIPE (SALMON) 15 KG;;VITALCAN;BALANCED;Mercadería / Simple
2191;064992715977;LATA ACANA CACHORRO 363 GR;;SADENIR;ACANA;Mercadería / Simple
2192;064992716035;LATA ACANA  CERDO 363 GR;;SADENIR;ACANA;Mercadería / Simple
2193;064992716189;LATA ORIJEN  POLLO/PAVO 363 GR;;SADENIR;ORIJEN;Mercadería / Simple
2207;7797453971843;SNACK DENTASTIX PEDIGREE - RAZAS MEDIANAS - 7 UN.;;BELSIR;PEDIGREE;Mercadería / Simple
221842;7730944740108;PELOTA DE GOMA RAVAL - N°2;;RAVAL;RAVAL;Mercadería / Simple
222;5411388200008;BAÑO SANITARIO SAVIC - DUCHESSE (X);;DISHER LTDA;SAVIC;Mercadería / Simple
2222;;INSUMO TERMÓMETRO DIGITAL JOYTECH C/LATU;;FARMAMEDICAL;FARMAMEDICAL;Mercadería / Simple
222A;;BAÑO SANITARIO SAVIC AZUL - DUCHESSE;;DISHER LTDA;SAVIC;Mercadería / Simple
222R;;BAÑO SANITARIO SAVIC ROSADO - DUCHESSE;;DISHER LTDA;SAVIC;Mercadería / Simple
222_112;222_112;COMEDERO PLÁSTICO PARA GATO RAVAL CHICO - 12 CM;;RAVAL;RAVAL;Mercadería / Simple
2238;;DESCUENTO PROMOCIONAL;;;;Cuenta Operativa / Otras Cuentas
22409308;;EXCELLENT PERRO ADULTO MED/GDE SMART 20+2 KG;;NESTLE;EXCELLENT;Mercadería / Simple
22501;7798098842901;BELCAT GATO ADULTO 10 KG;;VITALCAN;BELCAT;Mercadería / Simple
22843;;ROLLO BOLSITAS TRIXIE X20 - 22843;;PET GRASS;TRIXIE;Mercadería / Simple
22846;4011905228464;DISPENSADOR DE BOLSAS HUESITO TRIXIE 15 BOLSAS - 22846;;PET GRASS;TRIXIE;Mercadería / Simple
22VE;7730998320011;EQUICAT SILICA GEL PEARLS 4 LT / 1.8 KG;;SADENIR;EQUICAT;Mercadería / Simple
23018.018.G;796167953012;FREE FARO ARNÉS FORCE SHADOW (G);;FERPLAST;FREE FARO;Mercadería / Simple
23018.018.GG;796167953029;FREE FARO ARNÉS FORCE SHADOW (GG);;FERPLAST;FREE FARO;Mercadería / Simple
23018.018.M;796167953036;FREE FARO ARNÉS FORCE SHADOW (M);;FERPLAST;FREE FARO;Mercadería / Simple
2374;;INSUMO YODOPOVIDONA 1 LT;;FARMAMEDICAL;FARMAMEDICAL;Mercadería / Simple
2380;847922023805;JUGUETE GATO AFP CLASSIC COMFORT HOUSE MOUSE - 2380;;PET CARE;AFP;Mercadería / Simple
2383;847922023836;JUGUETE GATO AFP CLASSIC COMFORT CHIRPING MOUSE - 2383;;PET CARE;AFP;Mercadería / Simple
2386;847922023867;RASCADOR AFP - CARDBOARD SCRATCHER REGULAR - 2386;;PET CARE;AFP;Mercadería / Simple
2391;;CAMA AFP LOUNGE - GRIS - 2391;;PET CARE;AFP;Mercadería / Simple
23G-DF104-A1;;CANGURO PET CARE DESIGN - 35 CM;;PET CARE;PC DESIGN;Mercadería / Simple
23G-DF104-A1L;;CANGURO PET CARE DESIGN - 55 CM;;PET CARE;PC DESIGN;Mercadería / Simple
23G-DF104-A1M;6977595580269;CANGURO PET CARE DESIGN - 50 CM;;PET CARE;PC DESIGN;Mercadería / Simple
23G-DF104-A1S;;CANGURO PET CARE DESIGN - 45 CM;;PET CARE;PC DESIGN;Mercadería / Simple
23G-DF104-A1XL;6977595580283;CANGURO PET CARE DESIGN - 60 CM;;PET CARE;PC DESIGN;Mercadería / Simple
23G-DF104-A1XS;6977595580245;CANGURO PET CARE DESIGN - 40 CM;;PET CARE;PC DESIGN;Mercadería / Simple
23G-DF108-A1L;;CAMPERA PET CARE DESIGN - 55 CM;;PET CARE;PC DESIGN;Mercadería / Simple
23G-DF108-A1M;;CAMPERA PET CARE DESIGN - 50 CM;;PET CARE;PC DESIGN;Mercadería / Simple
23G-DF108-A1S;;CAMPERA PET CARE DESIGN - 45 CM;;PET CARE;PC DESIGN;Mercadería / Simple
23G-DF108-A1XL;6977595580344;CAMPERA PET CARE DESIGN - 60 CM;;PET CARE;PC DESIGN;Mercadería / Simple
23G-DF108-A1XS;6977595580306;CAMPERA PET CARE DESIGN - 40 CM;;PET CARE;PC DESIGN;Mercadería / Simple
23G-DF108-A1XXS;;CAMPERA PET CARE DESIGN - 35 CM;;PET CARE;PC DESIGN;Mercadería / Simple
23G-NEW8-B23L;6977595580092;CAMA PET CARE - SOFA GRIS - L - 23G-NEW8-B23L;;PET CARE;PC DESIGN;Mercadería / Simple
23G-NEW8-B23M;;CAMA PET CARE - SOFA GRIS - M - 23G-NEW8-B23M;;PET CARE;PC DESIGN;Mercadería / Simple
23G-NEW8-B23S;;CAMA PET CARE - SOFA GRIS - S - 23G-NEW8-B23S;;PET CARE;PC DESIGN;Mercadería / Simple
23G-NLSF10-B23L;6977595580184;CAMA PET CARE - SOMMIER C/AGARRE - L - 23G-NLSF10-B23L;;PET CARE;PC DESIGN;Mercadería / Simple
23G-NLSF10-B23M;;CAMA PET CARE - SOMMIER C/AGARRE - M - 23G-NLSF10-B23M;;PET CARE;PC DESIGN;Mercadería / Simple
23G-NLSF10-B23S;;CAMA PET CARE - SOMMIER C/AGARRE - S - 23G-NLSF10-B23S;;PET CARE;PC DESIGN;Mercadería / Simple
23G-NLSF10-C25L;6977595580214;CAMA PET CARE - ECO - L - 23G-NLSF10-C25L;;PET CARE;PC DESIGN;Mercadería / Simple
23G-NLSF10-C25M;6977595580207;CAMA PET CARE - ECO - M - 23G-NLSF10-C25M;;PET CARE;PC DESIGN;Mercadería / Simple
23G-NLSF10-C25S;6977595580191;CAMA PET CARE - ECO - S - 23G-NLSF10-C25S;;PET CARE;PC DESIGN;Mercadería / Simple
23G-WNB8-A25L;6977595580146;CAMA PET CARE - ECOLOGICA - L - 23G-WNB8-A25L;;PET CARE;PC DESIGN;Mercadería / Simple
23G-WNB8-A25M;;CAMA PET CARE - ECOLOGICA - M - 23G-WNB8-A25M;;PET CARE;PC DESIGN;Mercadería / Simple
23G-WNB8-A25S;6977595580139;CAMA PET CARE - ECOLOGICA - S - 23G-WNB8-A25S;;PET CARE;PC DESIGN;Mercadería / Simple
23GCAR8A38;6977595580009;ASIENTO PARA AUTO PET CARE - 53X50X35 CM;;PET CARE;PC DESIGN;Mercadería / Simple
2401;7797453971850;SNACK RODEO PEDIGREE - CARNE - 4 UN.;;BELSIR;PEDIGREE;Mercadería / Simple
2402;7797453971867;SNACK RODEO PEDIGREE - POLLO - 4 UN.;;BELSIR;PEDIGREE;Mercadería / Simple
2405;847922024055;FUENTE CASCADA PARA GATO AFP ROSADO - 2405;;PET CARE;AFP;Mercadería / Simple
24072;7898582465415;ARNES H ZEE DOG - MAHALO - EXTRA SMALL;;A Y N;ZEE DOG;Mercadería / Simple
24079.079.LONGA;7908661203002;FREE FARO CORREA FLEX 2.0 DARKEST;;FERPLAST;FREE FARO;Mercadería / Simple
24080.080.LONGA;7908661203347;FREE FARO CORREA FLEX 2.0 LILAC;;FERPLAST;FREE FARO;Mercadería / Simple
24089;7898582465408;ARNES H ZEE DOG - MAHALO - SMALL;;A Y N;ZEE DOG;Mercadería / Simple
24096;7898582465392;ARNES H ZEE DOG - MAHALO - MEDIUM;;A Y N;ZEE DOG;Mercadería / Simple
24102;7898582465385;ARNES H ZEE DOG - MAHALO - LARGE;;A Y N;ZEE DOG;Mercadería / Simple
2416;7898582460786;ZEE DOG JUGUETE - FRUITZ NARANJA;;A Y N;ZEE DOG;Mercadería / Simple
2418;7898582460779;ZEE DOG JUGUETE - FRUITZ BANANA;;A Y N;ZEE DOG;Mercadería / Simple
2419;7898582460762;ZEE DOG JUGUETE - FRUITZ PERA;;A Y N;ZEE DOG;Mercadería / Simple
2421;847922024215;JUGUETE GATO AFP GREEN RUSH CATNIP MICE - 2421;;PET CARE;AFP;Mercadería / Simple
2431;847922024314;STICKS HIERBA GATERA AFP 2GR X 6 - GREEN RUSH - CON JUGUETE - 2431;;PET CARE;AFP;Mercadería / Simple
2433;847922024338;STICKS HIERBA GATERA AFP 2 GR - GREEN RUSH - 1 UN. - 2433;;PET CARE;AFP;Mercadería / Simple
2438;7898582458592;ZEE DOG GO BOWL DE PASEO - ROSADO - SMALL;;A Y N;ZEE DOG;Mercadería / Simple
245;;SOLUCIÓN ÓTICA OTODERM 15 ML;;SERVIVET;SERVIVET;Mercadería / Simple
2451A;847922024512;PELUCHE TERMICO - CATZILLA - AZUL - 2451;;PET CARE;AFP;Mercadería / Simple
24S-SFY8-A4M;6977595580511;CAMA PET CARE - PASTEL - L - 24S-SFY8-A4M;;PET CARE;PC DESIGN;Mercadería / Simple
24S-SFY8-A4S;6977595580504;CAMA PET CARE - PASTEL - M - 24S-SFY8-A4S;;PET CARE;PC DESIGN;Mercadería / Simple
24S-SOFA8-C23L;6977595580405;CAMA PET CARE - CUBRE SOFA GRIS - L - 24S-SOFA8-C23L;;PET CARE;PC DESIGN;Mercadería / Simple
24S-SOFA8-C23M;6977595580399;CAMA PET CARE - CUBRE SOFA GRIS - M - 24S-SOFA8-C23M;;PET CARE;PC DESIGN;Mercadería / Simple
24S-SOFA8-C23S;6977595580382;CAMA PET CARE - CUBRE SOFA GRIS - S - 24S-SOFA8-C23S;;PET CARE;PC DESIGN;Mercadería / Simple
24S-VX10-A13L;6977595580436;CAMA PET CARE - P/MASCOTAS - L - 24S-VX10-A13L;;PET CARE;PC DESIGN;Mercadería / Simple
24S-VX10-A13M;6977595580429;CAMA PET CARE - P/MASCOTAS - M - 24S-VX10-A13M;;PET CARE;PC DESIGN;Mercadería / Simple
24S-VX10-A13S;6977595580412;CAMA PET CARE - P/MASCOTAS - S - 24S-VX10-A13S;;PET CARE;PC DESIGN;Mercadería / Simple
25;;EQUICAT SILICA GEL PEARLS 16 LT / 7.2 KG;;SADENIR;EQUICAT;Mercadería / Simple
25010;4011905250106;BOWL PASEO TRIXIE 250 ML/11 CM - 25010;;PET GRASS;TRIXIE;Mercadería / Simple
25011;4011905025018;BOWL PASEO TRIXIE 500 ML/14 CM - 25011;;PET GRASS;TRIXIE;Mercadería / Simple
2501GR;BISC1;OBSEQUIO - SNACK BISCROK PEDIGREE - 100 G;;BELSIR;PEDIGREE;Mercadería / Simple
2501VE;7797453971874;SNACK BISCROK PEDIGREE - 100 G;;BELSIR;PEDIGREE;Mercadería / Simple
25028;4047974250280;COMEDERO LENTO TRIXIE PLASTICO - 1.4 L/25 CM - 25028;;PET GRASS;TRIXIE;Mercadería / Simple
25031;4011905250311;COMEDERO LENTO TRIXIE TPR- 450 ML/ 20 CM - 25031;;PET GRASS;TRIXIE;Mercadería / Simple
25033;4011905250335;COMEDERO LENTO TRIXIE TPR - 1.5 L/ 27 CM - 25033;;PET GRASS;TRIXIE;Mercadería / Simple
2505;7797453971881;SNACK BISCROK PEDIGREE - 500 G;;BELSIR;PEDIGREE;Mercadería / Simple
253;7739860003601;SHAMPOO CLORHEXIDIN FORTE 2% (ROJO) 200 ML;;SERVIVET;UNIMEDICAL;Mercadería / Simple
254;7739860003083;SHAMPOO CLORHEXIDIN (VERDE) 200 ML;;SERVIVET;UNIMEDICAL;Mercadería / Simple
2603;5274266100;LATA HILLS GATO AD POLLO 156 GR;;LAOR;HILLS;Mercadería / Simple
2609;7898582464012;ZEE DOG GO BOWL DE PASEO - NEGRO - SMALL;;A Y N;ZEE DOG;Mercadería / Simple
2610;7898582464005;ZEE DOG GO BOWL DE PASEO - NEGRO - LARGE;;A Y N;ZEE DOG;Mercadería / Simple
265;;BAÑO SANITARIO SAVIC - OSCAR (X);;DISHER LTDA;SAVIC;Mercadería / Simple
265A;;BAÑO SANITARIO SAVIC AZUL - OSCAR;;DISHER LTDA;SAVIC;Mercadería / Simple
265G;;BAÑO SANITARIO SAVIC GRIS - OSCAR;;DISHER LTDA;SAVIC;Mercadería / Simple
265M;;BAÑO SANITARIO SAVIC MARRON - OSCAR;;DISHER LTDA;SAVIC;Mercadería / Simple
266;;INYECTABLE UNIZEPAN;;SERVIVET;SERVIVET;Mercadería / Simple
267;7739860003830;VITALFLEX CONDROPROTECTOR 30 COMPRIMIDOS;;UNIMEDICAL;VITALFLEX;Mercadería / Simple
27424;7791432014347;COLLAR PULGAS DOMINAL - PERROS PEQ. O CACHORROS - MENOS 5KG;;KONIG;DOMINAL;Mercadería / Simple
27438;7791432000029;COLLAR PULGAS DOMINAL - PERROS EXTRA GRANDES - +40KG;;KONIG;DOMINAL;Mercadería / Simple
27486;8010690109329;DOG VILLA 70 PREMIUM - S;;FERPLAST;FERPLAST;Mercadería / Simple
274N;7898590070977;PAÑALES NEW GOOD - GOOD PAD 7 UN - 60 X 60 CM;;ENTRE RIOS PAÑALES;NEW GOOD;Mercadería / Simple
27518;8010690014005;NOVA KC 70 COMEDERO METAL FERPLAST - 15.5 CM - 0.2 L;;FERPLAST;FERPLAST;Mercadería / Simple
27564;8010690014012;NOVA KC 72 COMEDERO METAL FERPLAST - 21 CM;;FERPLAST;FERPLAST;Mercadería / Simple
27566;8010690014036;NOVA KC 76 COMEDERO METAL FERPLAST - 25.4 CM - 0.9 L;;FERPLAST;FERPLAST;Mercadería / Simple
27567;8010690014043;NOVA KC 78 COMEDERO METAL FERPLAST - 29.3 CM - 1.5 L;;FERPLAST;FERPLAST;Mercadería / Simple
27747;8010690029283;PA 6020 PELOTA SUPER RESISTENTE FERPLAST S 4 CM;;FERPLAST;FERPLAST;Mercadería / Simple
27748;8010690029290;PA 6022 PELOTA SUPER RESISTENTE FERPLAST M 5 CM;;FERPLAST;FERPLAST;Mercadería / Simple
27901;7791432889051;PIPETA DOMINAL MAX - GATOS MENOS DE 4 KG;;KONIG;DOMINAL;Mercadería / Simple
27912;7791432889013;PIPETA DOMINAL MAX - PERROS DE 5 A 10 KG;;KONIG;DOMINAL;Mercadería / Simple
27913;7791432889020;PIPETA DOMINAL MAX - PERROS DE 10 A 25 KG;;KONIG;DOMINAL;Mercadería / Simple
27914;7791432889037;PIPETA DOMINAL MAX - PERROS DE 25 A 40 KG;;KONIG;DOMINAL;Mercadería / Simple
27915;7791432889044;PIPETA DOMINAL MAX - PERROS MAS DE 40 KG;;KONIG;DOMINAL;Mercadería / Simple
28000;8886467580000;ARNES + CORREA PAWISE - KITTEN HARNES - 14.5-25/18-30cm - 28000;;PET CARE;PAWISE;Mercadería / Simple
28001;8886467580017;ARNES PAWISE - GATO - W/1.2 LEASH - RED/BLUE - 28001;;PET CARE;PAWISE;Mercadería / Simple
28003;8886467580031;ARNES PAWISE - GATO - (19-32/27-47cm) W/1.2 Leash-Red/Bl - 28003;;PET CARE;PAWISE;Mercadería / Simple
28005;8886467580055;ARNES PAWISE - GATO - (22-35/30-52cm) W/1.2 Leash-Red/Bl - 28005;;PET CARE;PAWISE;Mercadería / Simple
28011;8886467580116;COLLAR PAWISE - GATO - DIAMOND ROSE - 28011;;PET CARE;PAWISE;Mercadería / Simple
28012;8886467580123;COLLAR PAWISE - GATO - DIAMOND HEART BLACK - 28012;;PET CARE;PAWISE;Mercadería / Simple
28019;8886467580192;COLLAR PAWISE - GATO - BLACKyWHITE MARBLING - 28019;;PET CARE;PAWISE;Mercadería / Simple
2802;847922028022;JUGUETE GATO AFP - FLUFFER - ROSADO - 2802;;PET CARE;AFP;Mercadería / Simple
28024;8886467580246;COLLAR PAWISE - GATO - FLOWER GREEN - 28024;;PET CARE;PAWISE;Mercadería / Simple
28025;8886467580253;COLLAR PAWISE - GATO - FLOWER PINK - 28025;;PET CARE;PAWISE;Mercadería / Simple
2803;847922028039;JUGUETE GATO AFP FURRY BALL FLUFFY BALL ORANGE - 2803;;PET CARE;AFP;Mercadería / Simple
28033;8886467580338;FUENTE PAWISE - BEBEDERO DE AGUA 1150L - 28033;;PET CARE;PAWISE;Mercadería / Simple
2804;847922028046;JUGUETE GATO AFP FURRY BALL FLUFFY BALL RED - 2804;;PET CARE;AFP;Mercadería / Simple
28041;8886467580413;LASER GATO PAWISE - 28041;;PET CARE;PAWISE;Mercadería / Simple
2805;847922028053;JUGUETE GATO AFP FURRY BALL FLUFFY BALL PINK - 2805;;PET CARE;AFP;Mercadería / Simple
28051;8886467580512;PUERTA PAWISE CAT FLAP 23X26CM - 28051;;PET CARE;PAWISE;Mercadería / Simple
2809;847922028091;VARITA Furry Ball - Long Fluff Wand - Orange - 2809;;PET CARE;PAWISE;Mercadería / Simple
28091;8886467580918;VARITA GATO PAWISE TEASER SNAKE 45 CM - 28091;;PET CARE;PAWISE;Mercadería / Simple
281011F;3411112133789;FELIWAY CLASSIC - SPRAY - 60 ML;;SINERVIA;FELIWAY;Mercadería / Simple
28122;8886467581229;JUGUETE GATO PAWISE PLUSH MICE TOY - 28122;;PET CARE;PAWISE;Mercadería / Simple
28123;8886467581236;JUGUETE GATO PAWISE - RATON CON PLUMA - 28123;;PET CARE;PAWISE;Mercadería / Simple
28181;8886467581816;JUGUETE PARA GATO - GATO - MARIPOSA CATNIP - 28181;;PET CARE;PAWISE;Mercadería / Simple
28188;8886467581885;JUGUETE GATO PAWISE SALTARÍN CON LUZ - 28188;;PET CARE;PAWISE;Mercadería / Simple
28204;8010690076546;KENNY CASITA MINI;;FERPLAST;FERPLAST;Mercadería / Simple
28205;8010690061443;KENNY CASITA 01;;FERPLAST;FERPLAST;Mercadería / Simple
28206;8010690059198;KENNY CASITA 03;;FERPLAST;FERPLAST;Mercadería / Simple
28207;8010690059204;KENNY CASITA 05;;FERPLAST;FERPLAST;Mercadería / Simple
28208;8010690059211;KENNY CASITA 07;;FERPLAST;FERPLAST;Mercadería / Simple
28209;8886467582097;PELOTA GATO PAWISE - METALIC BALL - 28209;;PET CARE;PAWISE;Mercadería / Simple
28211;8886467582110;PELOTA PAWISE- SPARKING 4.5 CM - 28211;;PET CARE;PAWISE;Mercadería / Simple
28212;8886467582127;JUGUETE GATO PAWISE - SPEEDY MOUSE - 28212;;PET CARE;PAWISE;Mercadería / Simple
28220;8010690087597;VENERE COMEDERO CERAMICA FERPLAST (M);;FERPLAST;FERPLAST;Mercadería / Simple
28221;8010690087603;VENERE COMEDERO CERAMICA FERPLAST (L);;FERPLAST;FERPLAST;Mercadería / Simple
28259;8886467582592;VARITA PAWISE NATURE FIRST - 28259;;PET CARE;PAWISE;Mercadería / Simple
28261;8886467582615;VARITA PAWISE - INSECTOS - 28261;;PET CARE;PAWISE;Mercadería / Simple
28311;8886467583117;PELUCHE PAWISE- PEZ CON HIERBA GATERA - 28311;;PET CARE;PAWISE;Mercadería / Simple
28313;8886467583131;JUGUETE GATO PAWISE - FISHING LIFE #2 - 28313;;PET CARE;PAWISE;Mercadería / Simple
28315;8886467583155;VARITA PARA GATO - PAWISE - FISHING LIFE #3 - 28315;;PET CARE;PAWISE;Mercadería / Simple
28401;8886467584015;RED PARA BALCON - PAWISE - TRANSPARENTE 2 x1,5m - 28401;;PET CARE;PAWISE;Mercadería / Simple
28402;8886467584022;RED PARA BALCON - PAWISE - TRANSPARENTE 3x3m - 28402;;PET CARE;PAWISE;Mercadería / Simple
28403;8886467584039;RED PARA BALCON - PAWISE - TRANSPARENTE 4x3m - 28403;;PET CARE;PAWISE;Mercadería / Simple
